prod_key,durable_prod_key,product_code,product_family,sub_acct,prod_technical_name,commercial_offer_name,offer_group_name,product_type,product_sub_type,bundle_validity,addon_type,tp_share,principle_agent,digital_price,portfolio,start_date_time,end_date_time,created_date,last_updated_date,source,batch_id,dml_ins_batch,dml_upd_batch,file_name
8468,8468,PL_WEEKLY EASY CARD_NWD_200_10_50,REMARKS,0,PL_WEEKLY EASY CARD_NWD_200_10_50,WEEKLY EASY CARD_PLDISC,WEEKLY EASY CARD,HYBRID,HEAVY VOICE HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8289,8289,PL_MONTHLY SOCIAL PACK PLUS_NWD_100_10_30,REMARKS,0,PL_MONTHLY SOCIAL PACK PLUS_NWD_100_10_30,MONTHLY SOCIAL PACK PLUS_PLDISC,MONTHLY SOCIAL PACK PLUS,GPRS,GPRS,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8483,8483,PL_WEEKLY EXTREME OFFER_URBAN_350_10_50,REMARKS,0,PL_WEEKLY EXTREME OFFER_URBAN_350_10_50,WEEKLY EXTREME OFFER_PLDISC,WEEKLY EXTREME OFFER,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8335,8335,BUNDLEGIFT-FULL DAY OFFER-60-1,REMARKS,0,BUNDLEGIFT-FULL DAY OFFER-60-1,FULL DAY OFFER GIFT,FULL DAY OFFER,HYBRID,HEAVY VOICE HYBRID,1,NOT APPLICABLE,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8475,8475,PL_MONTHLY SOCIAL PACK_NWD_100_10_50,REMARKS,0,PL_MONTHLY SOCIAL PACK_NWD_100_10_50,MONTHLY SOCIAL PACK_PLDISC,MONTHLY SOCIAL PACK,GPRS,GPRS,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8299,8299,BUNDLEGIFT-SOCIAL ALL IN ONE-265-30,REMARKS,0,BUNDLEGIFT-SOCIAL ALL IN ONE-265-30,SOCIAL AIO GIFT,SOCIAL ALL IN ONE,HYBRID,PURE HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8293,8293,BUNDLEGIFT-MY TELENOR WHATSAPP OFFER-85-30,REMARKS,0,BUNDLEGIFT-MY TELENOR WHATSAPP OFFER-85-30,MONTHLY FB&WA - NWD - GIFT,MONTHLY FB & WA OFFER,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,UNKNOWN,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8473,8473,PL_MONTHLY EXTREME_NWD_1100_10_100,REMARKS,0,PL_MONTHLY EXTREME_NWD_1100_10_100,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8325,8325,BUNDLEGIFT-EASYCARD PLUS-225-7,REMARKS,0,BUNDLEGIFT-EASYCARD PLUS-225-7,EC PLUS GIFT,EASY CARD PLUS,HYBRID,PURE HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8306,8306,BUNDLEGIFT-EASYCARD 450-645-30,REMARKS,0,BUNDLEGIFT-EASYCARD 450-645-30,EC 450 GIFT,EASY CARD 450,HYBRID,PURE HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8480,8480,PL_EASY CARD 850_NWD_850_10_100,REMARKS,0,PL_EASY CARD 850_NWD_850_10_100,EASY CARD 850_PLDISC,EASY CARD 850,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8287,8287,PL_EASY CARD PLUS_NWD_180_10_50,REMARKS,0,PL_EASY CARD PLUS_NWD_180_10_50,EASY CARD PLUS_PLDISC,EASY CARD PLUS,HYBRID,PURE HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8493,8493,PL_WEEKLY EXTREME OFFER_SH_370_10_50,REMARKS,0,PL_WEEKLY EXTREME OFFER_SH_370_10_50,WEEKLY EXTREME OFFER_PLDISC,WEEKLY EXTREME OFFER,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8458,8458,BUNDLEGIFT-MONTHLY ULTRA - 20GB-745-30,REMARKS,0,BUNDLEGIFT-MONTHLY ULTRA - 20GB-745-30,MONTHLY ULTRA - GIFT,MONTHLY ULTRA,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
