NETWORKCODE,INTERNUMBERHEAD,COUNTRYCODE
80936945,180936945,1
80936946,180936946,1
80936947,180936947,1
80936948,180936948,1
80936949,180936949,1
80936950,180936950,1
80936951,180936951,1
80936952,180936952,1
80936953,180936953,1
80936954,180936954,1
809370,1809370,1
809371,1809371,1
809374,1809374,1
809376,1809376,1
809377,1809377,1
809380,1809380,1
809382,1809382,1
8093823,18093823,1
8093824,18093824,1
809383,1809383,1
8093843,18093843,1
809386,1809386,1
809387,1809387,1
809389,1809389,1
80939,180939,1
809401,1809401,1
809402,1809402,1
809403,1809403,1
809404,1809404,1
809405,1809405,1
809406,1809406,1
809407,1809407,1
809408,1809408,1
809409,1809409,1
809410,1809410,1
809411,1809411,1
809413,1809413,1
809415,1809415,1
809416,1809416,1
809417,1809417,1
809418,1809418,1
809419,1809419,1
809420,1809420,1
809421,1809421,1
809422,1809422,1
809423,1809423,1
809424,1809424,1
809425,1809425,1
809426,1809426,1
809427,1809427,1
809428,1809428,1
809429,1809429,1
809430,1809430,1
809431,1809431,1
809432,1809432,1
809433,1809433,1
809434,1809434,1
809435,1809435,1
809436,1809436,1
809437,1809437,1
809438,1809438,1
809439,1809439,1
80944,180944,1
809450,1809450,1
809451,1809451,1
809452,1809452,1
809453,1809453,1
809454,1809454,1
809455,1809455,1
809456,1809456,1
809457,1809457,1
809458,1809458,1
809459,1809459,1
809460,1809460,1
809461,1809461,1
809462,1809462,1
809463,1809463,1
809464,1809464,1
809465,1809465,1
809466,1809466,1
809467,1809467,1
809468,1809468,1
809469,1809469,1
8094701,18094701,1
8094702,18094702,1
8094703,18094703,1
8094704,18094704,1
8094705,18094705,1
8094706,18094706,1
8094707,18094707,1
8094708,18094708,1
8094715,18094715,1
809474,1809474,1
809477,1809477,1
809478,1809478,1
809479,1809479,1
809480,1809480,1
809481,1809481,1
809484,1809484,1
809485,1809485,1
809486,1809486,1
809488,1809488,1
80948923,180948923,1
80948924,180948924,1
80948926,180948926,1
80948927,180948927,1
80948928,180948928,1
80948929,180948929,1
